post_id,title,category,score,num_comments,author,collected_at
47648828,"Eight years of wanting, three months of building with AI",technology,31,4,brilee,2026-04-05 20:14:39
47640728,Show HN: A game where you build a GPU,technology,837,169,Jaso1024,2026-04-05 20:14:40
47645432,Introduction to Computer Music (2009) [pdf],technology,184,57,luu,2026-04-05 20:14:42
47640875,"LLM Wiki – example of an ""idea file""",technology,243,77,tamnd,2026-04-05 20:14:44
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,170,84,jrandolf,2026-04-05 20:14:48
47637757,Embarrassingly simple self-distillation improves code generation,technology,616,185,Anon84,2026-04-05 20:14:50
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1052,801,firloop,2026-04-05 20:14:52
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,399,253,eichin,2026-04-05 20:14:56
47624645,Show HN: Apfel – The free AI already on your Mac,technology,721,147,franze,2026-04-05 20:15:04
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,395,148,denssumesh,2026-04-05 20:15:07
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,17,17,bring-shrubbery,2026-04-05 20:15:11
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,170,152,lschueller,2026-04-05 20:15:12
47645468,Writing Lisp is AI resistant and I'm sad,technology,70,77,djha-skin,2026-04-05 20:15:13
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,566,113,AbuAssar,2026-04-05 20:15:14
47616157,Software never had a soul,technology,19,17,firloop,2026-04-05 20:15:16
47633640,How to Write Unmaintainable Code (1999),technology,53,17,downbad_,2026-04-05 20:15:17
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,492,358,mooreds,2026-04-05 20:15:18
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,technology,92,37,borski,2026-04-05 20:15:25
47647283,"LinkedIn scans for 6k Chrome extensions, collects data",technology,5,1,anonhaven,2026-04-05 20:15:26
47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,technology,30,1,zdw,2026-04-05 20:15:28
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,60,15,josephcsible,2026-04-05 20:15:29
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,8,1,mellosouls,2026-04-05 20:15:30
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,240,138,nickslaughter02,2026-04-05 20:15:31
47642552,Nandgame – Build a Computer from Scratch,technology,5,0,Vortigaunt,2026-04-05 20:15:34
47620933,Memo: A language that remembers only the last 12 lines of code,technology,57,36,notem,2026-04-05 20:15:35
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,45,30,1659447091,2026-04-05 20:15:37
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,46,11,cmitsakis,2026-04-05 20:15:37
47648177,China Edges Past U.S. in Global Approval Ratings,worldnews,5,0,KnuthIsGod,2026-04-05 20:15:38
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 20:15:41
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 20:16:08
